data_link, bandwidth_capacity
"(1, 2)",4.797712938460322
"(3, 2)",4.797712938460322
"(8, 2)",4.797712938460322
"(4, 10)",4.797712938460322
"(7, 1)",4.797712938460322
"(3, 0)",4.797712938460322
"(2, 8)",4.797712938460322
"(9, 3)",4.797712938460322
"(6, 0)",4.797712938460322
"(2, 1)",4.797712938460322
"(3, 9)",4.797712938460322
"(0, 5)",4.797712938460322
"(1, 4)",4.797712938460322
"(5, 4)",4.797712938460322
"(3, 4)",4.797712938460322
"(2, 5)",4.797712938460322
"(1, 0)",4.797712938460322
"(10, 4)",4.797712938460322
"(0, 1)",4.797712938460322
"(0, 3)",4.797712938460322
"(11, 5)",4.797712938460322
"(4, 1)",4.797712938460322
"(4, 3)",4.797712938460322
"(5, 11)",4.797712938460322
"(0, 6)",4.797712938460322
"(5, 0)",4.797712938460322
"(1, 7)",4.797712938460322
"(4, 5)",4.797712938460322
"(2, 3)",4.797712938460322
"(5, 2)",4.797712938460322
