task_Number,endpoints_location,bandwidth_demand
0,[9],[0.7735354425901537]
1,"[7, 11, 9, 8]","[2.7318823385653275, 1.5656720394047139, 0.053066383776617876, 0.8712356309117973]"
2,[8],[2.3192559661665437]
3,[10],[0.48382208726044695]
4,"[9, 6, 7]","[2.5739878426926106, 2.0612507654314673, 1.836168706284972]"
5,"[6, 9, 7]","[1.3466158966806014, 2.2711539978367403, 1.2499696647174168]"
6,"[10, 9]","[1.6046455637668364, 1.3812036444006177]"
7,"[6, 9]","[0.8127590184857562, 1.85116301442017]"
8,"[10, 9, 7]","[2.035905823660263, 1.501598091608456, 1.8015114479401597]"
9,"[6, 9]","[1.5135993911053833, 2.0890005332195134]"
10,"[11, 9, 10, 7]","[0.6021255974386186, 1.3331356846755613, 2.423838658976555, 1.192167851376658]"
11,"[10, 7]","[2.002466860701242, 0.8716275377157029]"
12,[10],[0.962426587611974]
13,"[8, 7, 10]","[1.5385291355193687, 1.0564269293638362, 2.150893880259387]"
14,[8],[1.2181194090777796]
15,"[10, 11]","[2.269705043351072, 0.18678676047063603]"
16,"[7, 6, 9, 10]","[0.5106746754605548, 1.0877776601028604, 1.0542152449304638, 0.8558633481413137]"
17,"[7, 9, 8, 6]","[2.2511996278107276, 1.5681113829514066, 1.6008821651791039, 1.7353431463168878]"
18,[11],[1.1412200044456642]
19,"[10, 8]","[1.7310974673005397, 1.2695283992864228]"
20,"[6, 7, 8]","[2.55245852376917, 2.745875836320632, 1.508903848069718]"
21,[7],[1.2826195226988426]
22,"[10, 7, 8, 9]","[1.2142271336738903, 0.1944866879919136, 0.893667698967446, 1.124569190106091]"
23,"[9, 10, 7]","[1.0515593058554176, 1.6419526311027366, 0.8497939036396773]"
24,[10],[2.14967399408708]
25,[10],[3.2345333800182274]
26,[11],[1.0854620167628855]
27,"[11, 6, 7]","[2.4418325230697677, 1.1015148741714125, 1.7227077490045022]"
28,"[10, 7]","[3.3682406447759177, 0.49628036858368074]"
29,"[8, 6, 10, 7]","[2.0784288886692033, 1.5789745909741404, 1.222520047000772, 0.5850509256264602]"
30,"[7, 10, 11, 8]","[0.7609927792705292, 1.5159692204153052, 0.2490280679546365, 2.4609265209640876]"
31,[7],[1.050626409642425]
32,"[9, 7]","[0.2796029486907414, 2.7090858041730543]"
33,"[8, 6, 11, 10]","[0.5439453719348267, 1.4947495530003436, 0.9891183423386715, 0.4528631676654754]"
34,[6],[2.186342343377904]
35,"[9, 11]","[0.3015821313270155, 1.867659559204918]"
36,"[10, 11, 7]","[0.15241667624577993, 0.8410498224845652, 2.3188005219125762]"
37,"[6, 11, 8, 10]","[0.06818535526497793, 1.5882124698672269, 3.1580070919388525, 0.8213087411327243]"
38,"[8, 6, 11]","[1.7961435304825062, 2.501672893271513, 0.6002617773326611]"
39,"[10, 11, 7, 6]","[2.3271272718793936, 0.609582277487013, 0.309561293450052, 0.6466058515322417]"
