,valuation coefficient
0,12.53380072009264
1,29.135748634895357
2,188.48849430660877
3,27.489788902053213
4,23.740979903617422
5,13.321848738111978
6,25.92674149751359
7,8.57116992310279
8,16.397577778430854
9,199.25315875431423
10,14.00490538495664
11,11.775808870194647
12,29.319475367075018
13,9.259432463140904
14,14.521803460735072
15,19.5314782378141
16,26.72528947978831
17,17.812707445768112
18,189.81140884226815
19,9.545033576800874
20,10.810032467688384
21,25.486213656219075
22,11.344123425538958
23,29.151357302916594
24,13.854622834826582
25,12.345489964286063
26,21.50622010100411
27,20.612610181849973
28,9.793392629650148
29,194.82734146611094
30,8.716841835817595
31,8.00250496888717
32,29.96164166851218
33,12.16994153271691
34,25.9020043103084
35,22.023814503964143
36,10.077519202954585
37,28.032327143142254
38,28.27099049995348
39,17.790958736433524
