data_link, bandwidth_capacity
"(1, 2)",3.8138682271986313
"(3, 2)",3.8138682271986313
"(8, 2)",3.8138682271986313
"(4, 10)",3.8138682271986313
"(7, 1)",3.8138682271986313
"(3, 0)",3.8138682271986313
"(2, 8)",3.8138682271986313
"(9, 3)",3.8138682271986313
"(6, 0)",3.8138682271986313
"(2, 1)",3.8138682271986313
"(3, 9)",3.8138682271986313
"(0, 5)",3.8138682271986313
"(1, 4)",3.8138682271986313
"(5, 4)",3.8138682271986313
"(3, 4)",3.8138682271986313
"(2, 5)",3.8138682271986313
"(1, 0)",3.8138682271986313
"(10, 4)",3.8138682271986313
"(0, 1)",3.8138682271986313
"(0, 3)",3.8138682271986313
"(11, 5)",3.8138682271986313
"(4, 1)",3.8138682271986313
"(4, 3)",3.8138682271986313
"(5, 11)",3.8138682271986313
"(0, 6)",3.8138682271986313
"(5, 0)",3.8138682271986313
"(1, 7)",3.8138682271986313
"(4, 5)",3.8138682271986313
"(2, 3)",3.8138682271986313
"(5, 2)",3.8138682271986313
