task_Number,endpoints_location,bandwidth_demand
0,"[6, 8]","[1.5084130091963792, 0.3196578136540429]"
1,"[7, 9]","[1.7791222031104237, 1.4713201946330399]"
2,"[11, 10, 7]","[0.31791972368245247, 0.4685213661975357, 1.1054320141477858]"
3,"[6, 8, 9, 10]","[1.5619889247486647, 2.4705219523253117, 1.0039837424128253, 0.4151449098836182]"
4,"[7, 10]","[2.0616995762778347, 2.5191927446932403]"
5,"[9, 11, 7]","[0.09973027057893957, 0.19406415874324856, 1.6362442364712362]"
6,"[8, 11, 9, 6]","[0.7839794190645093, 0.5215683101003223, 0.8646715894570007, 0.4481163245158162]"
7,"[9, 6, 11]","[1.95151144836246, 0.6835298298334969, 1.1532361529491137]"
8,"[10, 6, 9]","[1.1276227812858228, 1.791679932770199, 0.5594797846569906]"
9,"[8, 11, 6, 10]","[3.050831448175632, 1.7103581327955453, 1.7023715510080126, 0.95555890290164]"
10,"[8, 9]","[0.8974668160983008, 1.0986872248080564]"
11,"[9, 7, 8]","[0.4197204024270257, 1.2663611965794936, 0.13041903678923017]"
12,[9],[0.4831876552283477]
13,"[6, 9, 11]","[1.7662758427240512, 1.1944023645586448, 0.9391618329472587]"
14,[10],[0.9831533871016208]
15,"[6, 11, 7, 9]","[0.7281455503885189, 1.7552590603266627, 0.662899246870653, 1.3443847389624184]"
16,"[9, 8]","[0.5813959188710123, 1.0480034372004876]"
17,"[8, 9, 7]","[0.40119329047016694, 1.2313755048798662, 1.1671504800194177]"
18,"[6, 7]","[2.2961812603791567, 0.38459780368019125]"
19,"[10, 8]","[0.4924812688250374, 0.47113957555756614]"
20,"[9, 6, 11]","[0.28292184311050284, 0.38310155377680155, 0.5494633333827847]"
21,"[8, 10, 6]","[0.05504569133276582, 1.596157769782964, 0.8027221348358716]"
22,"[7, 6, 9, 8]","[2.392944033535966, 2.803671556016953, 0.8456388461933333, 1.7541989954152966]"
23,"[6, 8, 11, 10]","[0.7953935161752231, 0.18410543471945473, 0.31213164232874246, 1.3813492787890018]"
24,"[8, 11, 7]","[2.9496587786584056, 0.638178778964847, 1.5310283133399292]"
25,"[9, 10, 7]","[1.355144777926946, 0.3203309639512594, 0.39561784055043725]"
26,"[7, 11, 10]","[0.19114629535610117, 0.7377022983082206, 1.2888222540556316]"
27,[11],[0.1804398312137887]
28,"[9, 8, 10]","[1.2339343036569628, 1.536924346161586, 0.14494763524001575]"
29,"[9, 7, 11]","[2.212636413208396, 1.27337561784423, 2.4006609788520437]"
30,"[8, 6, 9]","[1.1302933821458105, 1.6619389681001935, 0.7675853026648548]"
31,"[6, 10, 9]","[0.14911767556596, 2.532929414889087, 1.6199634663001117]"
32,"[11, 7]","[1.6758549930831406, 1.2312055447299746]"
33,[6],[1.1195091483743556]
34,"[9, 7, 11, 6]","[0.5503369026937459, 0.2750379281622384, 1.0156827828615804, 1.2954012003255087]"
35,[10],[0.09959295263288481]
36,[7],[0.004221113522280606]
37,"[6, 10]","[1.6393474995558317, 2.4730984862700476]"
38,[10],[2.5792700997018674]
39,[6],[0.18466345625328717]
