,valuation coefficient
0,15.666048216389957
1,19.722201873403105
2,15.280350717577047
3,15.87824968815999
4,26.45482174616501
5,11.989222852811778
6,26.466126586163796
7,25.567911912662883
8,13.078108979681836
9,14.455100006516396
10,26.91380526963907
11,21.68907389167086
12,16.408723548357663
13,24.525357592040933
14,21.255314381479458
15,20.251912800504822
16,24.87834329818094
17,19.032991083040997
18,16.977249290323208
19,27.64589524510622
20,185.0887651787926
21,14.453516080393776
22,196.955958567562
23,28.042820576491355
24,29.919388218486578
25,19.622329102076606
26,27.107376209951404
27,10.15073980300757
28,14.306615009882886
29,22.124838229941695
30,183.96581796729237
31,183.8212305076629
32,17.953662096573833
33,8.919902465805663
34,20.044094468259416
35,12.93220857766972
36,25.700204310048818
37,17.19550574961119
38,11.893076899363791
39,13.874748465476987
